Title,Permalink,Stock,"Regular Price","Sale Price","Image URL"
"Chitosan Extracto 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/chitosan-extracto-150-capsulas-500mg-adaptoheal/,383.000000,1244.18,995.34,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-chitosan-desktop_2x_da884046-6df6-4b39-8c2c-9ce746e11043.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-chitosan-desktop_2x_3564e886-d36d-42ee-b005-3677504fc8e8.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-chitosan-desktop_2x_e9ab98ea-dbc5-40e3-941d-941fa6c33cd0.png
"Citrato de Magnesio 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/citrato-de-magnesio-150-capsulas-500mg-adaptoheal/,184,741.63,593.3,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-citrato-de-magnesio-desktop_2x_9ac117a0-056f-4ea1-9693-c5bf00ea2766.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-citrato-de-magnesio-desktop_2x_4d94acc0-a51f-4be4-b313-3fae69f70ab7.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-citrato-de-magnesio-desktop_2x_bacc3035-966b-4649-8dab-1abea4a0c7be.png
"CND 90 cápsulas | Adaptoheal®",https://www.adaptohealmx.com/producto/cnd-90-capsulas-500mg-adaptoheal/,120,751.72,601.38,https://www.adaptohealmx.com/wp-content/uploads/2025/05/CND.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CND_Infografias_pag_web-07-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CND_Infografias_pag_web-08-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CND_Infografias_pag_web-09-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/WhatsAppImage2024-11-11at2.24.35PM.jpg
"Colágeno Hidrolizado 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/colageno-hidrolizado-150-capsulas-500mg-adaptoheal/,198.000000,617.61,494.09,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-colageno-hidrolizado-desktop_2x_7ad69402-1e33-4231-8eae-a0fd5eea1c89.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-colageno-hidrolizado-desktop_2x_23863673-b158-4ca2-8396-8565763cf1be.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-colageno-hidrolizado-desktop_2x_b528e6d3-553c-4086-bc68-2bcf2c743472.png
"Cordyceps Extracto 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/cordyceps/,325,1004.03,803.22,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-cordyceps-desktop_2x_a043eaaa-d716-4daf-9aa0-040eb953046e.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-cordyceps-desktop_2x_c88217d4-ad60-4b15-8915-cb5034bdcb84.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-cordyceps-desktop_2x_2cbe3ee5-7bf9-4741-b77b-a48db6bc14ee.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-cordyceps-plantas-adaptogenicas-desktop_2x_c0d7c849-752a-442c-9760-46711847cd5c.png
"DHEA 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/dhea/,68.000000,1724.44,1379.55,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-dhea-desktop_2x_e47b086e-17ea-4c6d-b9e5-aba431bb8bc0.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-dhea-desktop_2x_dbc467f5-a252-4a57-89e0-1625b3b28829.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-dhea-desktop_2x_d6ea21f3-477c-4ad3-87a7-4e5efd0b545c.png
"Diente de León 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/diente-de-leon-150-capsulas-500mg-adaptoheal/,207.000000,528.98,423.18,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-diente-de-leon-desktop_2x_1a6647a4-4597-447b-93cc-8f9aa57f6c02.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-diente-de-leon-desktop_2x_27725793-bc9a-4247-9c91-cb67ab7adad5.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-diente-de-leon-desktop_2x_17aa87bd-30c6-40db-b05b-33ff6710fc27.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-diente-de-leon-plantas-adaptogenicas-desktop_2x_39bb6ce0-26b0-414f-8f1e-bba8e175a9e1.png
"Dong Quai 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/dong-quai-150-capsulas-500mg-adaptoheal/,401,791.38,633.1,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-dong-quai-desktop_2x_4119e96a-de44-40dd-a5eb-9fc9137d53fc.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-dong-quai-desktop_2x_108f41fe-d2da-4df7-888c-e6127715e963.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-dong-quai-desktop_2x_5c6e151e-64b7-4735-bd98-3700688bee09.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-dong-quai-plantas-adaptogenicas-desktop_2x_8666b89a-08e6-4115-a088-f6ab3c04516a.png
"Equinácea Purpurea 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/equinacea-purpurea-150-capsulas-500mg-adaptoheal/,226.000000,703.73,562.98,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-equinacea-desktop_2x_407cf3cf-99e9-4f6b-a4f5-cc8937d0bb97.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-equinacea-desktop_2x_870e804d-27bd-4fea-bb3c-c798c6662b8d.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-equinacea-desktop_2x_911a1a5a-1519-4c7c-9419-7bb0f3a34370.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-equinacea-plantas-adaptogenicas-desktop_2x_68a7225c-955a-4582-9a87-4ca537476bc6.png
"ES3 90 cápsulas | Adaptoheal®",https://www.adaptohealmx.com/producto/es3-90-capsulas-adaptoheal/,207,829.22,663.38,https://www.adaptohealmx.com/wp-content/uploads/2025/05/ES3.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ES3_Infografias_pag_web-10-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ES3_Infografias_pag_web-11-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ES3_Infografias_pag_web-12-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/WhatsAppImage2024-11-11at2.24.35PM_1_7ce1038b-1651-42a9-82ec-b6191c7fac91.jpg
